,ds,y
0,2016-10-04,1
1,2016-10-05,1
2,2016-10-06,1
3,2017-01-15,6
4,2017-01-20,1
5,2017-01-23,2
6,2017-01-24,1
7,2017-01-26,2
8,2017-01-28,1
9,2017-01-31,3
10,2017-02-05,2
11,2017-02-07,1
12,2017-02-10,1
13,2017-02-11,1
14,2017-02-12,2
15,2017-02-13,1
16,2017-02-15,3
17,2017-02-17,1
18,2017-02-20,1
19,2017-02-22,1
20,2017-02-23,1
21,2017-03-01,2
22,2017-03-02,2
23,2017-03-05,1
24,2017-03-06,4
25,2017-03-08,2
26,2017-03-10,1
27,2017-03-14,1
28,2017-03-20,2
29,2017-03-26,2
30,2017-03-27,2
31,2017-04-04,1
32,2017-04-06,3
33,2017-04-08,1
34,2017-04-14,1
35,2017-04-16,1
36,2017-04-18,1
37,2017-04-20,2
38,2017-04-21,1
39,2017-04-22,1
40,2017-04-23,1
41,2017-04-24,1
42,2017-04-28,1
43,2017-05-03,1
44,2017-05-06,1
45,2017-05-08,2
46,2017-05-15,1
47,2017-05-19,1
48,2017-05-21,1
49,2017-05-23,1
50,2017-05-24,2
51,2017-05-26,1
52,2017-05-28,2
53,2017-05-30,1
54,2017-06-02,1
55,2017-06-04,3
56,2017-06-05,3
57,2017-06-09,2
58,2017-06-13,2
59,2017-06-14,3
60,2017-06-17,1
61,2017-06-18,1
62,2017-06-19,3
63,2017-06-20,1
64,2017-06-22,1
65,2017-06-23,1
66,2017-06-24,1
67,2017-06-25,1
68,2017-06-27,1
69,2017-06-28,2
70,2017-07-04,2
71,2017-07-05,1
72,2017-07-15,2
73,2017-07-18,2
74,2017-07-19,1
75,2017-07-22,1
76,2017-07-26,1
77,2017-07-28,1
78,2017-07-29,2
79,2017-07-30,2
80,2017-08-01,1
81,2017-08-02,1
82,2017-08-03,1
83,2017-08-04,1
84,2017-08-05,2
85,2017-08-06,1
86,2017-08-08,2
87,2017-08-12,1
88,2017-08-13,3
89,2017-08-14,2
90,2017-08-15,1
91,2017-08-17,1
92,2017-08-20,4
93,2017-08-23,1
94,2017-08-25,1
95,2017-08-27,3
96,2017-08-30,2
97,2017-09-01,1
98,2017-09-03,2
99,2017-09-04,1
100,2017-09-05,4
101,2017-09-08,2
102,2017-09-09,3
103,2017-09-10,1
104,2017-09-11,1
105,2017-09-12,1
106,2017-09-13,1
107,2017-09-14,6
108,2017-09-16,2
109,2017-09-17,1
110,2017-09-19,4
111,2017-09-21,1
112,2017-09-24,1
113,2017-09-25,5
114,2017-09-27,1
115,2017-10-03,1
116,2017-10-06,1
117,2017-10-09,2
118,2017-10-11,2
119,2017-10-12,3
120,2017-10-14,3
121,2017-10-15,1
122,2017-10-17,1
123,2017-10-18,1
124,2017-10-21,1
125,2017-10-22,1
126,2017-10-26,1
127,2017-10-30,1
128,2017-11-03,2
129,2017-11-09,3
130,2017-11-12,1
131,2017-11-14,5
132,2017-11-15,3
133,2017-11-16,1
134,2017-11-18,3
135,2017-11-19,1
136,2017-11-23,1
137,2017-11-24,1
138,2017-11-25,4
139,2017-11-26,6
140,2017-11-27,4
141,2017-11-28,1
142,2017-11-29,1
143,2017-12-01,3
144,2017-12-02,2
145,2017-12-03,1
146,2017-12-04,2
147,2017-12-06,1
148,2017-12-08,1
149,2017-12-12,1
150,2017-12-13,1
151,2017-12-14,1
152,2017-12-17,1
153,2017-12-23,1
154,2017-12-25,1
155,2017-12-28,3
156,2017-12-29,1
157,2017-12-30,1
158,2017-12-31,1
159,2018-01-05,1
160,2018-01-06,9
161,2018-01-07,2
162,2018-01-09,1
163,2018-01-12,1
164,2018-01-13,4
165,2018-01-15,2
166,2018-01-16,1
167,2018-01-18,3
168,2018-01-20,1
169,2018-01-21,3
170,2018-01-23,4
171,2018-01-25,1
172,2018-01-26,2
173,2018-01-29,6
174,2018-02-04,2
175,2018-02-06,1
176,2018-02-08,1
177,2018-02-09,1
178,2018-02-11,1
179,2018-02-14,2
180,2018-02-15,1
181,2018-02-16,1
182,2018-02-17,1
183,2018-02-19,3
184,2018-02-20,1
185,2018-02-21,1
186,2018-02-23,3
187,2018-02-27,2
188,2018-02-28,2
189,2018-03-01,1
190,2018-03-03,4
191,2018-03-04,1
192,2018-03-05,2
193,2018-03-06,1
194,2018-03-08,2
195,2018-03-10,1
196,2018-03-11,2
197,2018-03-12,3
198,2018-03-13,5
199,2018-03-14,5
200,2018-03-15,1
201,2018-03-16,2
202,2018-03-18,2
203,2018-03-19,1
204,2018-03-20,3
205,2018-03-21,1
206,2018-03-22,1
207,2018-03-23,3
208,2018-03-24,1
209,2018-03-27,1
210,2018-03-28,1
211,2018-03-30,1
212,2018-04-02,3
213,2018-04-04,3
214,2018-04-05,2
215,2018-04-08,2
216,2018-04-09,1
217,2018-04-10,1
218,2018-04-11,1
219,2018-04-12,1
220,2018-04-14,1
221,2018-04-15,5
222,2018-04-16,2
223,2018-04-17,2
224,2018-04-18,2
225,2018-04-19,3
226,2018-04-20,2
227,2018-04-21,1
228,2018-04-22,2
229,2018-04-23,5
230,2018-04-26,2
231,2018-04-27,1
232,2018-04-29,1
233,2018-04-30,4
234,2018-05-01,4
235,2018-05-02,2
236,2018-05-03,8
237,2018-05-04,3
238,2018-05-05,1
239,2018-05-06,2
240,2018-05-07,1
241,2018-05-08,1
242,2018-05-09,2
243,2018-05-10,1
244,2018-05-12,1
245,2018-05-13,1
246,2018-05-15,1
247,2018-05-16,1
248,2018-05-17,4
249,2018-05-18,1
250,2018-05-19,2
251,2018-05-20,1
252,2018-05-22,1
253,2018-05-29,2
254,2018-05-31,1
255,2018-06-02,2
256,2018-06-03,2
257,2018-06-05,2
258,2018-06-07,3
259,2018-06-09,1
260,2018-06-11,3
261,2018-06-12,1
262,2018-06-14,1
263,2018-06-15,2
264,2018-06-17,1
265,2018-06-18,5
266,2018-06-19,1
267,2018-06-20,1
268,2018-06-21,1
269,2018-06-22,1
270,2018-06-26,2
271,2018-06-28,1
272,2018-06-29,1
273,2018-07-02,5
274,2018-07-04,2
275,2018-07-05,1
276,2018-07-09,1
277,2018-07-14,1
278,2018-07-16,2
279,2018-07-19,1
280,2018-07-20,4
281,2018-07-23,3
282,2018-07-24,2
283,2018-07-27,1
284,2018-07-28,4
285,2018-07-29,2
286,2018-07-31,3
287,2018-08-01,1
288,2018-08-02,4
289,2018-08-04,2
290,2018-08-05,1
291,2018-08-06,3
292,2018-08-07,5
293,2018-08-08,2
294,2018-08-09,4
295,2018-08-10,3
296,2018-08-12,2
297,2018-08-14,1
298,2018-08-15,1
299,2018-08-16,1
300,2018-08-17,2
301,2018-08-21,1
